dataset_id,dataset_metadata_link,labels
12886,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12886&format=XML,xxx
12890,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12890&format=XML,xxx
12894,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12894&format=XML,xxx
12901,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12901&format=XML,xxx
12903,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12903&format=XML,xxx
12904,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:12904&format=XML,xxx
14490,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14490&format=XML,xxx
14519,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14519&format=XML,meso|neo
14699,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14699&format=XML,brons|ijz|rom|xme
14702,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14702&format=XML,neo|ijz|rom
14718,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14718&format=XML,xxx
14721,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14721&format=XML,xxx
14806,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14806&format=XML,xxx
14807,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14807&format=XML,xxx
14808,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14808&format=XML,xxx
14810,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14810&format=XML,neo|ijz|xme|nt
14816,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14816&format=XML,xxx
14818,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14818&format=XML,xxx
14820,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14820&format=XML,xme|nt
14849,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14849&format=XML,xxx
14860,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14860&format=XML,xxx
14861,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14861&format=XML,xxx
14867,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14867&format=XML,xme
14871,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14871&format=XML,xxx
14876,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14876&format=XML,xxx
14877,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14877&format=XML,xxx
14881,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14881&format=XML,xxx
14882,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14882&format=XML,xxx
14885,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14885&format=XML,rom|xme|nt
14893,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14893&format=XML,xxx
14894,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14894&format=XML,xxx
14895,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14895&format=XML,xme
14896,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14896&format=XML,xxx
14899,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14899&format=XML,xxx
14900,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14900&format=XML,xxx
14902,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14902&format=XML,xxx
14904,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14904&format=XML,rom|xme
14910,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14910&format=XML,ijz|rom
14911,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14911&format=XML,xxx
14913,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14913&format=XML,xxx
14915,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14915&format=XML,xxx
14917,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14917&format=XML,xxx
14922,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14922&format=XML,xme|nt
14923,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14923&format=XML,xxx
14924,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14924&format=XML,paleo|meso|neo
14927,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14927&format=XML,xxx
14934,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14934&format=XML,xxx
14938,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14938&format=XML,ijz|xme
14948,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14948&format=XML,xxx
14958,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14958&format=XML,brons|ijz|rom
14969,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14969&format=XML,xxx
14970,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14970&format=XML,xxx
14973,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14973&format=XML,xxx
14976,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14976&format=XML,xxx
14980,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14980&format=XML,xxx
14987,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14987&format=XML,xxx
14988,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14988&format=XML,ijz|rom|xme
14992,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14992&format=XML,xxx
14998,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:14998&format=XML,xxx
15001,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15001&format=XML,xxx
15009,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15009&format=XML,xxx
15014,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15014&format=XML,xxx
15017,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15017&format=XML,xxx
15023,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15023&format=XML,xxx
15024,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15024&format=XML,xxx
15035,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15035&format=XML,meso|xme|nt
15036,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15036&format=XML,xxx
15037,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15037&format=XML,xxx
15038,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15038&format=XML,xxx
15039,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15039&format=XML,xxx
15045,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15045&format=XML,xxx
15054,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15054&format=XML,xxx
15063,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15063&format=XML,xxx
15064,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15064&format=XML,xxx
15072,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15072&format=XML,xxx
15075,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15075&format=XML,rom|xme
15076,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15076&format=XML,xxx
15079,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15079&format=XML,xxx
15082,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15082&format=XML,xxx
15089,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15089&format=XML,xxx
15091,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15091&format=XML,xxx
15097,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15097&format=XML,paleo|meso|neo|brons|ijz|rom|xme
15102,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15102&format=XML,xxx
15108,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15108&format=XML,xxx
15109,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15109&format=XML,xxx
15112,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15112&format=XML,xxx
15117,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15117&format=XML,xxx
15119,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15119&format=XML,xxx
15123,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15123&format=XML,neo|brons|ijz|rom|xme|nt
15126,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15126&format=XML,xxx
15129,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15129&format=XML,rom|xme|nt
15131,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15131&format=XML,xxx
15137,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15137&format=XML,xme|nt
15148,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15148&format=XML,xme
15156,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15156&format=XML,xxx
15164,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15164&format=XML,xme
15165,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15165&format=XML,xxx
15175,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15175&format=XML,brons|xme|nt
15177,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15177&format=XML,xxx
15181,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15181&format=XML,xxx
15185,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15185&format=XML,xxx
15196,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15196&format=XML,brons|ijz|rom
15202,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15202&format=XML,xxx
15203,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15203&format=XML,xxx
15209,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15209&format=XML,xxx
15214,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15214&format=XML,xxx
15216,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15216&format=XML,ijz|rom|xme
15222,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15222&format=XML,rom|xme
15230,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15230&format=XML,xxx
15235,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15235&format=XML,ijz|rom|xme|nt
15241,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15241&format=XML,xxx
15242,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15242&format=XML,xxx
15249,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15249&format=XML,xxx
15250,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15250&format=XML,paleo|meso
15251,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15251&format=XML,xxx
15259,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15259&format=XML,xme
15262,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15262&format=XML,paleo|meso|neo|brons|ijz|rom|xme|nt
15271,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15271&format=XML,xxx
15272,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15272&format=XML,xxx
15273,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15273&format=XML,xxx
15277,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15277&format=XML,xxx
15286,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15286&format=XML,ijz
15290,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15290&format=XML,xxx
15294,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15294&format=XML,nt
15296,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15296&format=XML,xxx
15300,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15300&format=XML,xxx
15302,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15302&format=XML,xxx
15307,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15307&format=XML,xxx
15314,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15314&format=XML,rom|xme|nt
15321,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15321&format=XML,xxx
15331,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15331&format=XML,xxx
15335,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15335&format=XML,xme
15341,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15341&format=XML,xme|nt
15345,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15345&format=XML,xxx
15349,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15349&format=XML,xxx
15354,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15354&format=XML,xme
15356,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15356&format=XML,xme
15360,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15360&format=XML,xxx
15363,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15363&format=XML,xme
15373,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15373&format=XML,xxx
15380,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15380&format=XML,xxx
15381,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15381&format=XML,xxx
15382,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15382&format=XML,xxx
15389,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15389&format=XML,meso|neo
15392,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15392&format=XML,xxx
15393,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15393&format=XML,xxx
15396,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15396&format=XML,rom|xme
15403,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15403&format=XML,xxx
15452,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15452&format=XML,xxx
15453,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15453&format=XML,xxx
15457,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15457&format=XML,xxx
15460,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15460&format=XML,paleo|neo|ijz|xme|nt
15462,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15462&format=XML,xxx
15463,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15463&format=XML,meso
15464,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15464&format=XML,xxx
15466,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15466&format=XML,xxx
15467,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15467&format=XML,xxx
15468,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15468&format=XML,xxx
15470,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15470&format=XML,xxx
15473,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15473&format=XML,xxx
15476,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15476&format=XML,xxx
15481,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15481&format=XML,xxx
15483,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15483&format=XML,rom|nt
15487,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15487&format=XML,xxx
15489,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15489&format=XML,xxx
15490,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15490&format=XML,xxx
15491,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15491&format=XML,xxx
15492,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15492&format=XML,xxx
15493,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15493&format=XML,paleo|brons|xme|nt
15494,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15494&format=XML,xxx
15495,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15495&format=XML,xxx
15499,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15499&format=XML,xxx
15501,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15501&format=XML,xxx
15505,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15505&format=XML,xxx
15511,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15511&format=XML,xxx
15512,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15512&format=XML,nt
15516,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15516&format=XML,xxx
15518,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15518&format=XML,xxx
15520,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15520&format=XML,xxx
15521,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15521&format=XML,xxx
15522,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15522&format=XML,xxx
15523,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15523&format=XML,xme
15524,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15524&format=XML,neo|ijz|xme|nt
15525,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15525&format=XML,xxx
15531,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15531&format=XML,xxx
15533,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15533&format=XML,ijz|xme|nt
15534,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15534&format=XML,xxx
15541,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15541&format=XML,xxx
15546,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15546&format=XML,xxx
15548,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15548&format=XML,xxx
15549,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15549&format=XML,paleo|brons|rom|xme|nt
15550,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15550&format=XML,xxx
15554,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15554&format=XML,xxx
15557,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15557&format=XML,xxx
15558,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15558&format=XML,meso|neo|brons|ijz|rom|xme|nt
15561,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15561&format=XML,xxx
15562,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15562&format=XML,xxx
15569,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15569&format=XML,xxx
15571,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15571&format=XML,xxx
15577,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15577&format=XML,meso|neo|xme|nt
15583,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15583&format=XML,xxx
15586,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15586&format=XML,xxx
15588,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15588&format=XML,xxx
15591,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15591&format=XML,xxx
15593,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15593&format=XML,xxx
15594,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15594&format=XML,xxx
15596,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15596&format=XML,xxx
15597,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15597&format=XML,paleo|meso|brons|ijz|rom|xme|nt
15599,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15599&format=XML,xxx
15603,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15603&format=XML,paleo|meso|neo|brons|ijz|rom|xme|nt
15605,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15605&format=XML,xxx
15608,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15608&format=XML,xxx
15610,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15610&format=XML,xxx
15611,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15611&format=XML,xxx
15613,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15613&format=XML,xxx
15616,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15616&format=XML,xxx
15617,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15617&format=XML,xxx
15619,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15619&format=XML,xxx
15620,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15620&format=XML,xxx
15622,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15622&format=XML,paleo|rom|xme|nt
15624,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15624&format=XML,ijz|xme
15625,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15625&format=XML,xxx
15627,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15627&format=XML,paleo|rom|nt
15628,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15628&format=XML,xxx
15629,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15629&format=XML,xxx
15632,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15632&format=XML,neo|ijz|rom|nt
15636,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15636&format=XML,rom
15638,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15638&format=XML,xxx
15643,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15643&format=XML,xxx
15649,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15649&format=XML,xxx
15654,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15654&format=XML,xxx
15656,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15656&format=XML,xxx
15657,https://easy.dans.knaw.nl/ui/resources/easy/export?sid=easy-dataset:15657&format=XML,xxx
